id,state,year,mrdrte,exec,unem
32,NM,90,9.1999998,0,6.3000002
32,NM,93,8,0,7.5
33,NY,87,11.3,0,4.9000001
33,NY,90,14.5,0,5.1999998
33,NY,93,13.3,0,7.6999998
34,NC,87,8.1000004,1,4.5
34,NC,90,10.7,0,4.0999999
34,NC,93,11.3,2,4.9000001
35,ND,87,1.5,0,5.1999998
35,ND,90,0.80000001,0,3.9000001
35,ND,93,1.7,0,4.3000002
36,OH,87,5.8000002,0,7
36,OH,90,6.0999999,0,5.6999998
36,OH,93,6,0,6.5
37,OK,87,7.5,0,7.4000001
37,OK,90,8,1,5.5999999
37,OK,93,8.3999996,2,6
38,OR,87,5.5999999,0,6.1999998
38,OR,90,3.8,0,5.5
38,OR,93,4.5999999,0,7.1999998
39,PA,87,5.4000001,0,5.6999998
39,PA,90,6.6999998,0,5.4000001
39,PA,93,6.8000002,0,7
40,RI,87,3.5,0,3.8
40,RI,90,4.8000002,0,6.6999998
40,RI,93,3.9000001,0,7.6999998
41,SC,87,9.3000002,2,5.5999999
41,SC,90,11.2,1,4.6999998
41,SC,93,10.3,1,7.5
42,SD,87,1.8,0,4.1999998
42,SD,90,2,0,3.7
42,SD,93,3.4000001,0,3.5
43,TN,87,9.1000004,0,6.5999999
43,TN,90,10.5,0,5.1999998
43,TN,93,10.2,0,5.6999998
44,TX,87,11.7,22,8.3999996
44,TX,90,14.1,11,6.1999998
44,TX,93,11.9,34,7
45,UT,87,3.3,1,6.4000001
45,UT,90,3,1,4.3000002
45,UT,93,3.0999999,1,3.9000001
46,VT,87,2.7,0,3.5999999
46,VT,90,2.3,0,5
46,VT,93,3.5999999,0,5.4000001
47,VA,87,7.4000001,4,4.1999998
47,VA,90,8.8000002,3,4.3000002
47,VA,93,8.3000002,11,5
48,WA,87,5.5999999,0,7.5999999
48,WA,90,4.9000001,0,4.9000001
48,WA,93,5.1999998,1,7.5
49,WV,87,4.8000002,0,10.8
49,WV,90,5.6999998,0,8.3000002
49,WV,93,6.9000001,0,10.8
50,WI,87,3.5,0,6.0999999
50,WI,90,4.5999999,0,4.4000001
50,WI,93,4.4000001,0,4.6999998
51,WY,87,2,0,8.6000004
51,WY,90,4.9000001,0,5.4000001
51,WY,93,3.4000001,1,5.4000001
